x,y,modality,category
0.05,0.00,image,768
0.00,0.10,image,768
0.04,-0.02,image,768
-0.03,-0.04,image,768
-0.02,0.02,image,768
-0.01,-0.00,image,768
0.07,0.05,image,768
0.01,0.00,image,768
-0.00,0.02,image,768
-0.07,-0.00,image,768
-0.01,-0.06,image,768
0.00,0.05,image,768
-0.03,0.01,image,768
0.05,-0.02,image,768
0.05,-0.02,image,768
-0.03,-0.06,image,768
-0.08,0.00,image,768
-0.04,0.02,image,768
-0.01,0.06,image,768
0.01,0.06,image,768
-0.00,0.00,image,768
0.03,0.00,image,768
0.03,-0.01,image,768
0.03,-0.01,image,768
-0.04,-0.07,image,768
0.00,0.07,image,768
-0.09,0.00,image,768
0.01,0.03,image,768
-0.00,0.03,image,768
-0.00,0.00,image,768
0.06,-0.01,image,768
-0.02,0.02,image,768
-0.03,0.04,image,768
-0.01,0.10,image,768
0.01,-0.02,image,768
0.02,0.08,image,768
0.01,0.02,image,768
0.01,-0.03,image,768
-0.07,0.01,image,768
0.02,0.04,image,768
-0.05,-0.07,image,562
-0.01,-0.05,image,562
0.00,0.01,image,562
-0.03,-0.02,image,562
0.02,-0.02,image,562
-0.06,-0.01,image,562
-0.07,-0.04,image,562
-0.02,0.01,image,562
-0.06,-0.04,image,562
0.04,-0.05,image,562
-0.03,-0.03,image,562
0.01,-0.05,image,562
0.01,-0.05,image,562
-0.02,-0.05,image,562
-0.04,0.07,image,562
0.01,-0.00,image,562
-0.06,-0.02,image,562
0.01,-0.06,image,562
-0.02,0.02,image,562
-0.03,-0.02,image,562
-0.03,0.03,image,562
0.00,-0.03,image,562
-0.04,0.01,image,562
-0.08,0.00,image,562
0.01,-0.08,image,562
-0.01,0.08,image,562
0.02,-0.00,image,562
-0.01,-0.10,image,562
-0.08,-0.02,image,562
-0.07,-0.07,image,562
0.00,0.01,image,562
0.01,-0.06,image,562
-0.01,-0.07,image,562
0.03,-0.03,image,562
-0.08,-0.05,image,562
-0.07,-0.06,image,562
-0.13,0.03,image,562
-0.05,0.00,image,562
-0.06,-0.07,image,562
-0.06,-0.06,image,562
-0.00,-0.06,image,562
0.04,-0.04,image,562
-0.06,-0.02,image,562
-0.02,-0.07,image,562
-0.07,-0.01,image,562
-0.04,0.01,image,562
-0.02,0.01,image,562
-0.01,-0.02,image,562
-0.04,-0.02,image,562
-0.03,-0.06,image,562
0.00,-0.15,text,879
-0.00,-0.14,text,879
0.00,-0.13,text,879
-0.02,-0.12,text,879
-0.01,-0.13,text,879
-0.00,-0.13,text,879
0.00,-0.14,text,879
-0.00,-0.12,text,879
-0.02,-0.12,text,879
-0.00,-0.13,text,879
0.01,-0.13,text,879
0.00,-0.13,text,879
-0.00,-0.13,text,879
0.00,-0.14,text,879
-0.01,-0.14,text,879
0.00,-0.13,text,879
0.01,-0.13,text,879
0.01,-0.15,text,879
-0.03,-0.14,text,879
-0.01,-0.13,text,879
0.00,-0.13,text,879
-0.01,-0.12,text,879
-0.02,-0.12,text,879
0.01,-0.13,text,879
-0.01,-0.14,text,879
0.01,-0.13,text,879
0.01,-0.13,text,879
-0.01,-0.13,text,879
-0.00,-0.14,text,879
0.00,-0.14,text,879
0.01,-0.14,text,879
-0.00,-0.15,text,879
0.00,-0.14,text,879
0.00,-0.13,text,879
-0.01,-0.12,text,879
0.00,-0.13,text,879
0.01,-0.14,text,879
-0.01,-0.12,text,879
0.01,-0.14,text,879
0.01,-0.14,text,879
-0.00,-0.12,text,879
0.00,-0.13,text,879
-0.01,-0.12,text,879
-0.00,-0.14,text,879
-0.01,-0.15,text,879
-0.01,-0.12,text,879
0.00,-0.13,text,879
0.01,-0.12,text,879
0.01,-0.14,text,879
-0.00,-0.14,text,879
0.01,-0.15,text,433
-0.00,-0.13,text,433
-0.00,-0.15,text,433
-0.04,-0.12,text,433
0.00,-0.15,text,433
0.00,-0.15,text,433
-0.01,-0.13,text,433
-0.02,-0.13,text,433
-0.01,-0.14,text,433
-0.01,-0.15,text,433
-0.00,-0.16,text,433
-0.03,-0.15,text,433
-0.02,-0.15,text,433
0.00,-0.14,text,433
0.01,-0.14,text,433
-0.01,-0.13,text,433
-0.01,-0.15,text,433
-0.00,-0.15,text,433
-0.02,-0.14,text,433
-0.01,-0.15,text,433
-0.02,-0.14,text,433
0.00,-0.14,text,433
0.00,-0.14,text,433
-0.01,-0.13,text,433
-0.01,-0.16,text,433
-0.00,-0.14,text,433
0.00,-0.15,text,433
0.00,-0.14,text,433
-0.00,-0.15,text,433
0.00,-0.15,text,433
-0.02,-0.14,text,433
-0.02,-0.14,text,433
-0.01,-0.14,text,433
-0.01,-0.14,text,433
0.01,-0.14,text,433
-0.01,-0.16,text,433
-0.01,-0.14,text,433
-0.01,-0.14,text,433
0.00,-0.15,text,433
-0.02,-0.14,text,433
-0.00,-0.16,text,433
0.00,-0.14,text,433
-0.01,-0.14,text,433
-0.00,-0.15,text,433
-0.00,-0.15,text,433
-0.01,-0.14,text,433
-0.00,-0.14,text,433
-0.00,-0.13,text,433
-0.02,-0.12,text,433
-0.00,-0.14,text,433
-0.01,-0.14,text,805
0.00,-0.13,text,805
0.00,-0.13,text,805
0.01,-0.14,text,805
-0.00,-0.14,text,805
0.00,-0.12,text,805
0.00,-0.14,text,805
0.00,-0.14,text,805
0.01,-0.14,text,805
-0.02,-0.13,text,805
0.01,-0.14,text,805
0.00,-0.14,text,805
-0.01,-0.13,text,805
-0.02,-0.13,text,805
-0.01,-0.14,text,805
0.01,-0.14,text,805
-0.00,-0.14,text,805
0.01,-0.13,text,805
0.01,-0.12,text,805
0.01,-0.14,text,805
-0.00,-0.14,text,805
0.00,-0.14,text,805
-0.00,-0.14,text,805
-0.01,-0.15,text,805
0.01,-0.14,text,805
0.00,-0.14,text,805
-0.00,-0.14,text,805
0.01,-0.14,text,805
-0.00,-0.14,text,805
0.01,-0.14,text,805
0.00,-0.15,text,805
-0.01,-0.14,text,805
0.00,-0.13,text,805
-0.01,-0.14,text,805
-0.01,-0.14,text,805
-0.00,-0.15,text,805
0.01,-0.15,text,805
-0.01,-0.14,text,805
0.01,-0.14,text,805
0.01,-0.14,text,805
0.00,-0.14,text,805
0.00,-0.14,text,805
0.00,-0.15,text,805
-0.01,-0.14,text,805
0.00,-0.12,text,805
-0.01,-0.14,text,805
-0.01,-0.14,text,805
0.00,-0.14,text,805
0.01,-0.14,text,805
-0.01,-0.13,text,805
-0.00,-0.14,text,768
0.01,-0.13,text,768
-0.01,-0.14,text,768
0.01,-0.15,text,768
-0.01,-0.13,text,768
-0.01,-0.15,text,768
-0.01,-0.13,text,768
-0.03,-0.15,text,768
-0.02,-0.14,text,768
0.00,-0.13,text,768
0.00,-0.14,text,768
-0.00,-0.13,text,768
-0.01,-0.14,text,768
-0.01,-0.14,text,768
0.02,-0.13,text,768
0.00,-0.13,text,768
0.02,-0.14,text,768
-0.01,-0.14,text,768
-0.00,-0.14,text,768
-0.02,-0.13,text,768
0.00,-0.14,text,768
-0.02,-0.13,text,768
-0.01,-0.14,text,768
0.02,-0.15,text,768
0.01,-0.15,text,768
-0.01,-0.14,text,768
-0.02,-0.13,text,768
-0.03,-0.15,text,768
-0.01,-0.13,text,768
-0.02,-0.15,text,768
-0.02,-0.14,text,768
-0.01,-0.14,text,768
-0.01,-0.13,text,768
-0.01,-0.14,text,768
-0.01,-0.13,text,768
0.01,-0.14,text,768
-0.01,-0.13,text,768
0.02,-0.13,text,768
-0.00,-0.15,text,768
-0.02,-0.13,text,768
-0.01,-0.15,text,768
-0.01,-0.14,text,768
-0.01,-0.14,text,768
-0.00,-0.13,text,768
-0.01,-0.14,text,768
-0.01,-0.13,text,768
-0.01,-0.14,text,768
0.01,-0.14,text,768
0.01,-0.13,text,768
-0.00,-0.14,text,768
-0.00,-0.14,text,562
-0.00,-0.14,text,562
-0.02,-0.14,text,562
-0.01,-0.15,text,562
-0.01,-0.14,text,562
-0.02,-0.13,text,562
-0.01,-0.15,text,562
-0.01,-0.14,text,562
0.01,-0.15,text,562
0.00,-0.16,text,562
0.01,-0.14,text,562
0.02,-0.15,text,562
-0.00,-0.16,text,562
-0.02,-0.14,text,562
-0.01,-0.13,text,562
-0.00,-0.14,text,562
0.00,-0.13,text,562
-0.01,-0.14,text,562
-0.01,-0.14,text,562
0.01,-0.14,text,562
-0.01,-0.14,text,562
0.01,-0.15,text,562
-0.01,-0.13,text,562
-0.00,-0.15,text,562
0.00,-0.16,text,562
-0.03,-0.15,text,562
-0.01,-0.15,text,562
-0.00,-0.15,text,562
-0.01,-0.15,text,562
0.00,-0.15,text,562
-0.02,-0.14,text,562
-0.02,-0.14,text,562
-0.00,-0.14,text,562
-0.02,-0.14,text,562
-0.01,-0.14,text,562
-0.01,-0.15,text,562
-0.02,-0.13,text,562
-0.01,-0.14,text,562
-0.02,-0.14,text,562
-0.04,-0.13,text,562
-0.02,-0.14,text,562
-0.01,-0.15,text,562
-0.02,-0.15,text,562
-0.02,-0.14,text,562
-0.02,-0.14,text,562
0.01,-0.15,text,562
-0.02,-0.14,text,562
0.00,-0.16,text,562
-0.02,-0.13,text,562
-0.00,-0.15,text,562
